"ABX","ABX"
"AEZ","AEZS"
"AEM","AEM"
"AGU","AGU"
"AHX","ADH"
"AMM","AAU"
"ANP","ANPI"
"ANV","ANV"
"APG","AGT"
"ARZ","AZK"
"AXR","AXU"
"AZC","AZC"
"BAA","BAA"
"BCB","COT"
"BCE","BCE"
"BLD","BLDP"
"BLU","BLUS"
"BMO","BMO"
"BAM.A","BAM"
"BNS","BNS"
"BPO","BPO"
"BVF","BVF"
"CAE","CGT"
"CCO","CCJ"
"CDM","CDE"
"CDU","CDY"
"CEF.A","CEF"
"CFT","CFK"
"CJR.B","CJR"
"CLS","CLS"
"CM","CM"
"CMT","CMZ"
"CNQ","CNQ"
"CNR","CNI"
"COM","CRME"
"CP","CP"
"CRE","CREL"
"CRJ","CGR"
"CRY","CRYP"
"CSM","SMC"
"CTQ","ETQ"
"CXX","CXZ"
"DDS","DDSS"
"DEJ","DEJ"
"DSG","DSGX"
"ECA","ECA"
"ECG","ECGI"
"EDR","EXK"
"ELD","EGO"
"ENB","ENB"
"ETG","EGI"
"EXF","EXFO"
"FFH","FFH"
"FMI","FMTI"
"FRG","FRG"
"FSV","FSRV"
"G","GG"
"GAM","GRS"
"GBG","GBG"
"GEP.U","GPR"
"GIB.A","GIB"
"GIL","GIL"
"GMO","GMO"
"GNA","GNA"
"GRZ","GRZ"
"GSC","GSS"
"GTE","GTE"
"GTH","HTM"
"HCH","HCH"
"HTE.UN","HTE"
"HW","HWD"
"HYG","HYGS"
"IE","IVAN"
"IGT","IAU"
"IMG","IAG"
"IMO","IMO"
"IMX","IMAX"
"IOL","IOC"
"IRC","ROY"
"ITP","ITP"
"IVN","IVN"
"JCT","JCTCF"
"K","KGC"
"KBR","KBX"
"KFS","KFS"
"KRY","KRY"
"LUN","LMC"
"MAG","MVG"
"MCZ","MCZ"
"MDS","MDZ"
"MDZ.A","MDCA"
"MEC.A","MECA"
"MFC","MFC"
"MFL","MFN"
"MG.A","MGA"
"MGT","MGN"
"MIM.A","MIM"
"MMM","MGH"
"MPV","MDM"
"MRI.U","MERC"
"MX","MEOH"
"NCS","NCST"
"NCX","NCX"
"NDM","NAK"
"NG","NG"
"NGD","NGD"
"NGX","NXG"
"NOA","NOA"
"NSU","NSU"
"NT","NT"
"NXY","NXY"
"OC","OCCX"
"ONC","ONCY"
"ONY","ONTY"
"OTC","OTEX"
"OTT.UN","OTT"
"OZN","OZN"
"PAA","PAAS"
"PAE","PAE"
"PCA","PCZ"
"PDL","PAL"
"PGF.UN","PGH"
"PMU","PMU"
"POM","PLM"
"POT","POT"
"PTM","PLG"
"PZG","PZG"
"QC","QCC"
"QLT","QLTI"
"RBA","RBA"
"RMX","RBY"
"RCI.B","RCI"
"RGL","RGLD"
"RIC","RIC"
"RIM","RIMM"
"RY","RY"
"SEA","SA"
"SJR.B","SJR"
"SLF","SLF"
"SLW","SLW"
"SNG","SNG"
"SOY","STKL"
"SSO","SSRI"
"STN","STN"
"SU","SU"
"SW","SWIR"
"SXC","SXCI"
"T.A","TU"
"TA","TAC"
"TAP.A","TAPA"
"TAP.B","TAP"
"TC","TCX"
"TCK.B","TCK"
"TCM","TC"
"TD","TD"
"TGL","TGA"
"THI","THI"
"TKO","TGB"
"TLC","TLCV"
"TLM","TLM"
"TNX","TRE"
"TRI","TRI"
"TRP","TRP"
"TTH","TTHI"
"UFS","UFS"
"URE","URG"
"URZ","URZ"
"UXG","UXG"
"VAS","VSGN"
"VGZ","VGZ"
"VTN","VTNC"
"WGI","WGW"
"WPT","WPRT"
"YGA","GST"
"YM","YMI"
"YRI","AUY"
