"MMM","3M Company","Industrials"
"ABT","Abbott Laboratories","Health Care"
"ANF","Abercrombie & Fitch Co.","Consumer Discretionary"
"ADBE","Adobe Systems","Information Technology"
"AMD","Advanced Micro Devices","Information Technology"
"AES","AES Corporation","Utilities"
"AET","Aetna Inc.","Health Care"
"AFL","AFLAC Inc.","Financials"
"A","Agilent Technologies","Information Technology"
"APD","Air Products & Chemicals","Materials"
"AKAM","Akamai Technologies Inc","Information Technology"
"AKS","AK Steel Holding Corp.","Materials"
"AA","Alcoa Inc","Materials"
"AYE","Allegheny Energy","Utilities"
"ATI","Allegheny Technologies Inc","Materials"
"AGN","Allergan Inc.","Health Care"
"ALL","Allstate Corp.","Financials"
"ALTR","Altera Corp.","Information Technology"
"MO","Altria Group Inc.","Consumer Staples"
"AMZN","Amazon Corp.","Consumer Discretionary"
"AEE","Ameren Corporation","Utilities"
"AEP","American Electric Power","Utilities"
"AXP","American Express","Financials"
"AIG","American International Group","Financials"
"AMT","American Tower Corporation","Telecommunications Services"
"AMP","Ameriprise Financial Inc.","Financials"
"ABC","AmerisourceBergen Corp.","Health Care"
"AMGN","Amgen","Health Care"
"APC","Anadarko Petroleum Corporation","Energy"
"ADI","Analog Devices","Information Technology"
"AON","Aon Corporation","Financials"
"APA","Apache Corp.","Energy"
"AIV","AIMCO","Financials"
"APOL","Apollo Group","Consumer Discretionary"
"AAPL","Apple Inc.","Information Technology"
"AMAT","Applied Materials","Information Technology"
"ADM","Archer Daniels Midland","Consumer Staples"
"ASH","Ashland Inc.","Materials"
"AIZ","Assurant Inc","Financials"
"T","AT&T Inc.","Telecommunications Services"
"ADSK","Autodesk Inc.","Information Technology"
"ADP","Automatic Data Processing Inc.","Information Technology"
"AN","AutoNation Inc.","Consumer Discretionary"
"AZO","AutoZone Inc.","Consumer Discretionary"
"AVB","AvalonBay Communities","Financials"
"AVY","Avery Dennison Corp.","Industrials"
"AVP","Avon Products","Consumer Staples"
"BHI","Baker Hughes","Energy"
"BLL","Ball Corp.","Materials"
"BAC","Bank of America Corp.","Financials"
"BK","Bank of New York Mellon Corp.","Financials"
"BCR","Bard (C.R.) Inc.","Health Care"
"BAX","Baxter International Inc.","Health Care"
"BBT","BB&T Corporation","Financials"
"BDX","Becton Dickinson","Health Care"
"BBBY","Bed Bath & Beyond","Consumer Discretionary"
"BMS","Bemis Company","Materials"
"BRK.B","Berkshire Hathaway","Financials"
"BBY","Best Buy Co. Inc.","Consumer Discretionary"
"BIG","Big Lots Inc.","Consumer Discretionary"
"BIIB","BIOGEN IDEC Inc.","Health Care"
"BJS","BJ Services Company","Energy"
"HRB","Block H&R","Consumer Discretionary"
"BMC","BMC Software","Information Technology"
"BA","Boeing Company","Industrials"
"BXP","Boston Properties","Financials"
"BSX","Boston Scientific","Health Care"
"BMY","Bristol-Myers Squibb","Health Care"
"BRCM","Broadcom Corporation","Information Technology"
"BF.B","Brown-Forman Corporation","Consumer Staples"
"CHRW","C. H. Robinson Worldwide","Industrials"
"CA","CA, Inc.","Information Technology"
"COG","Cabot Oil & Gas","Energy"
"CAM","Cameron International Corp.","Energy"
"CPB","Campbell Soup","Consumer Staples"
"COF","Capital One Financial","Financials"
"CAH","Cardinal Health Inc.","Health Care"
"CFN","Carefusion Corporation","Health Care"
"CCL","Carnival Corp.","Consumer Discretionary"
"CAT","Caterpillar Inc.","Industrials"
"CBG","CB Richard Ellis Group","Financials"
"CBS","CBS Corp.","Consumer Discretionary"
"CELG","Celgene Corp.","Health Care"
"CNP","CenterPoint Energy","Utilities"
"CTL","CenturyTel Inc","Telecommunications Services"
"CEPH","Cephalon Inc","Telecommunications Services"
"CF","CF Industries Holdings Inc","Materials"
"SCHW","Charles Schwab","Financials"
"CHK","Chesapeake Energy","Energy"
"CVX","Chevron Corp.","Energy"
"CB","Chubb Corp.","Financials"
"CI","CIGNA Corp.","Health Care"
"CINF","Cincinnati Financial","Financials"
"CTAS","Cintas Corporation","Industrials"
"CSCO","Cisco Systems","Information Technology"
"C","Citigroup Inc.","Financials"
"CTXS","Citrix Systems","Information Technology"
"CLF","Cliffs Natural Resources","Materials"
"CLX","Clorox Co.","Consumer Staples"
"CME","CME Group Inc.","Financials"
"CMS","CMS Energy","Utilities"
"COH","Coach Inc.","Consumer Discretionary"
"KO","Coca Cola Co.","Consumer Staples"
"CCE","Coca-Cola Enterprises","Consumer Staples"
"CTSH","Cognizant Technology Solutions","Information Technology"
"CL","Colgate-Palmolive","Consumer Staples"
"CMCSA","Comcast Corp.","Consumer Discretionary"
"CMA","Comerica Inc.","Financials"
"CSC","Computer Sciences Corp.","Information Technology"
"CPWR","Compuware Corp.","Information Technology"
"CAG","ConAgra Foods Inc.","Consumer Staples"
"COP","ConocoPhillips","Energy"
"CNX","CONSOL Energy Inc.","Energy"
"ED","Consolidated Edison","Utilities"
"STZ","Constellation Brands","Consumer Staples"
"CEG","Constellation Energy Group","Utilities"
"CBE","Cooper Industries Ltd.","Industrials"
"GLW","Corning Inc.","Information Technology"
"COST","Costco Co.","Consumer Staples"
"CVH","Coventry Health Care Inc.","Health Care"
"CSX","CSX Corp.","Industrials"
"CMI","Cummins Inc.","Industrials"
"CVS","CVS Caremark Corp.","Consumer Staples"
"DHI","D. R. Horton","Consumer Discretionary"
"DHR","Danaher Corp.","Industrials"
"DRI","Darden Restaurants","Consumer Discretionary"
"DVA","DaVita Inc.","Health Care"
"DF","Dean Foods","Consumer Staples"
"DE","Deere & Co.","Industrials"
"DELL","Dell Inc.","Information Technology"
"DNR","Denbury Resources Inc.","Energy"
"XRAY","Dentsply Intl","Health Care"
"DVN","Devon Energy Corp.","Energy"
"DV","DeVry, Inc.","Consumer Discretionary"
"DO","Diamond Offshore Drilling","Energy"
"DTV","DIRECTV Group Inc.","Consumer Discretionary"
"DFS","Discover Financial Services","Financials"
"DISCA","Discovery Communications","Consumer Discretionary"
"D","Dominion Resources","Utilities"
"RRD","Donnelley (R.R.) & Sons","Industrials"
"DOV","Dover Corp.","Industrials"
"DOW","Dow Chemical","Materials"
"DPS","Dr Pepper Snapple Group","Consumer Staples"
"DTE","DTE Energy Co.","Utilities"
"DD","Du Pont (E.I.)","Materials"
"DUK","Duke Energy","Utilities"
"DNB","Dun & Bradstreet","Industrials"
"ETFC","E-Trade","Financials"
"EMN","Eastman Chemical","Materials"
"EK","Eastman Kodak","Consumer Discretionary"
"ETN","Eaton Corp.","Industrials"
"EBAY","eBay Inc.","Information Technology"
"ECL","Ecolab Inc.","Materials"
"EIX","Edison Int'l","Utilities"
"EP","El Paso Corp.","Energy"
"ERTS","Electronic Arts","Information Technology"
"EMC","EMC Corp.","Information Technology"
"EMR","Emerson Electric","Industrials"
"ETR","Entergy Corp.","Utilities"
"EOG","EOG Resources","Energy"
"EQT","EQT Corporation","Utilities"
"EFX","Equifax Inc.","Industrials"
"EQR","Equity Residential","Financials"
"EL","Estee Lauder Cos.","Consumer Staples"
"EXC","Exelon Corp.","Utilities"
"EXPE","Expedia Inc.","Consumer Discretionary"
"EXPD","Expeditors Int'l","Industrials"
"ESRX","Express Scripts","Health Care"
"XOM","Exxon Mobil Corp.","Energy"
"FDO","Family Dollar Stores","Consumer Discretionary"
"FAST","Fastenal Co","Industrials"
"FII","Federated Investors Inc.","Financials"
"FDX","FedEx Corporation","Industrials"
"FIS","Fidelity National Information Services","Information Technology"
"FITB","Fifth Third Bancorp","Financials"
"FHN","First Horizon National","Financials"
"FSLR","First Solar Inc","Industrials"
"FE","FirstEnergy Corp","Utilities"
"FISV","Fiserv Inc","Information Technology"
"FLIR","FLIR Systems","Information Technology"
"FLS","Flowserve Corporation","Industrials"
"FLR","Fluor Corp.","Industrials"
"FMC","FMC Corporation","Materials"
"FTI","FMC Technologies Inc.","Energy"
"F","Ford Motor","Consumer Discretionary"
"FRX","Forest Laboratories","Health Care"
"FO","Fortune Brands Inc.","Consumer Discretionary"
"FPL","FPL Group","Utilities"
"BEN","Franklin Resources","Financials"
"FCX","Freeport-McMoran Cp & Gld","Materials"
"FTR","Frontier Communications","Telecommunications Services"
"GME","GameStop Corp.","Consumer Discretionary"
"GCI","Gannett Co.","Consumer Discretionary"
"GPS","Gap (The)","Consumer Discretionary"
"GD","General Dynamics","Industrials"
"GE","General Electric","Industrials"
"GIS","General Mills","Consumer Staples"
"GPC","Genuine Parts","Consumer Discretionary"
"GNW","Genworth Financial Inc.","Financials"
"GENZ","Genzyme Corp.","Health Care"
"GILD","Gilead Sciences","Health Care"
"GS","Goldman Sachs Group","Financials"
"GR","Goodrich Corporation","Industrials"
"GT","Goodyear Tire & Rubber","Consumer Discretionary"
"GOOG","Google Inc.","Information Technology"
"GWW","Grainger (W.W.) Inc.","Industrials"
"HAL","Halliburton Co.","Energy"
"HOG","Harley-Davidson","Consumer Discretionary"
"HAR","Harman Int'l Industries","Consumer Discretionary"
"HRS","Harris Corporation","Information Technology"
"HIG","Hartford Financial Svc.Gp.","Financials"
"HAS","Hasbro Inc.","Consumer Discretionary"
"HCP","HCP Inc.","Financials"
"HCN","Health Care REIT","Financials"
"HNZ","Heinz (H.J.)","Consumer Staples"
"HP","Helmerich & Payne","Energy"
"HES","Hess Corporation","Energy"
"HPQ","Hewlett-Packard","Information Technology"
"HD","Home Depot","Consumer Discretionary"
"HON","Honeywell Int'l Inc.","Industrials"
"HRL","Hormel Foods Corp.","Consumer Staples"
"HSP","Hospira Inc.","Health Care"
"HST","Host Hotels & Resorts","Financials"
"HCBK","Hudson City Bancorp","Financials"
"HUM","Humana Inc.","Health Care"
"HBAN","Huntington Bancshares","Financials"
"ITW","Illinois Tool Works","Industrials"
"TEG","Integrys Energy Group Inc.","Utilities"
"INTC","Intel Corp.","Information Technology"
"ICE","IntercontinentalExchange Inc.","Financials"
"IBM","International Bus. Machines","Information Technology"
"IFF","International Flav/Frag","Materials"
"IGT","International Game Technology","Consumer Discretionary"
"IP","International Paper","Materials"
"IPG","Interpublic Group","Consumer Discretionary"
"INTU","Intuit Inc.","Information Technology"
"ISRG","Intuitive Surgical Inc.","Health Care"
"IVZ","Invesco Ltd.","Financials"
"IRM","Iron Mountain Incorporated","Industrials"
"ITT","ITT Corporation","Industrials"
"JBL","Jabil Circuit","Information Technology"
"JEC","Jacobs Engineering Group","Industrials"
"JNS","Janus Capital Group","Financials"
"JDSU","JDS Uniphase Corp.","Information Technology"
"JNJ","Johnson & Johnson","Health Care"
"JCI","Johnson Controls","Consumer Discretionary"
"JPM","JPMorgan Chase & Co.","Financials"
"JNPR","Juniper Networks","Information Technology"
"K","Kellogg Co.","Consumer Staples"
"KEY","KeyCorp","Financials"
"KMB","Kimberly-Clark","Consumer Staples"
"KIM","Kimco Realty","Financials"
"KG","King Pharmaceuticals","Health Care"
"KLAC","KLA-Tencor Corp.","Information Technology"
"KSS","Kohl's Corp.","Consumer Discretionary"
"KFT","Kraft Foods Inc-A","Consumer Staples"
"KR","Kroger Co.","Consumer Staples"
"LLL","L-3 Communications Holdings","Industrials"
"LH","Laboratory Corp. of America Holding","Health Care"
"LM","Legg Mason","Financials"
"LEG","Leggett & Platt","Consumer Discretionary"
"LEN","Lennar Corp.","Consumer Discretionary"
"LUK","Leucadia National Corp.","Financials"
"LXK","Lexmark Int'l Inc","Information Technology"
"LIFE","Life Technologies","Health Care"
"LLY","Lilly (Eli) & Co.","Health Care"
"LTD","Limited Brands Inc.","Consumer Discretionary"
"LNC","Lincoln National","Financials"
"LLTC","Linear Technology Corp.","Information Technology"
"LMT","Lockheed Martin Corp.","Industrials"
"L","Loews Corp.","Financials"
"LO","Lorillard Inc.","Consumer Staples"
"LOW","Lowe's Cos.","Consumer Discretionary"
"LSI","LSI Corporation","Information Technology"
"MTB","M&T Bank Corp.","Financials"
"M","Macy's Inc.","Consumer Discretionary"
"MRO","Marathon Oil Corp.","Energy"
"MAR","Marriott Int'l.","Consumer Discretionary"
"MMC","Marsh & McLennan","Financials"
"MI","Marshall & Ilsley Corp.","Financials"
"MAS","Masco Corp.","Industrials"
"MEE","Massey Energy Company","Energy"
"MA","Mastercard Inc.","Information Technology"
"MAT","Mattel Inc.","Consumer Discretionary"
"MFE","McAfee","Information Technology"
"MKC","McCormick & Co.","Consumer Staples"
"MCD","McDonald's Corp.","Consumer Discretionary"
"MHP","McGraw-Hill","Consumer Discretionary"
"MCK","McKesson Corp.","Health Care"
"MJN","Mead Johnson","Consumer Staples"
"MWV","MeadWestvaco Corporation","Materials"
"MHS","Medco Health Solutions Inc.","Health Care"
"MDT","Medtronic Inc.","Health Care"
"WFR","MEMC Electronic Materials","Information Technology"
"MRK","Merck & Co.","Health Care"
"MDP","Meredith Corp.","Consumer Discretionary"
"MET","MetLife Inc.","Financials"
"PCS","MetroPCS Communications Inc.","Telecommunications Services"
"MCHP","Microchip Technology","Information Technology"
"MU","Micron Technology","Information Technology"
"MSFT","Microsoft Corp.","Information Technology"
"MIL","Millipore Corp.","Health Care"
"MOLX","Molex Inc.","Information Technology"
"TAP","Molson Coors Brewing Company","Consumer Staples"
"MON","Monsanto Co.","Materials"
"MWW","Monster Worldwide","Industrials"
"MCO","Moody's Corp","Financials"
"MS","Morgan Stanley","Financials"
"MOT","Motorola Inc.","Information Technology"
"MXB","MSCI","Financials"
"MUR","Murphy Oil","Energy"
"MYL","Mylan Inc.","Health Care"
"NBR","Nabors Industries Ltd.","Energy"
"NDAQ","NASDAQ OMX Group","Financials"
"NOV","National Oilwell Varco Inc.","Energy"
"NSM","National Semiconductor","Information Technology"
"NTAP","NetApp","Information Technology"
"NYT","New York Times Cl. A","Consumer Discretionary"
"NWL","Newell Rubbermaid Co.","Consumer Discretionary"
"NEM","Newmont Mining Corp. (Hldg. Co.)","Materials"
"NWSA","News Corporation","Consumer Discretionary"
"GAS","NICOR Inc.","Utilities"
"NKE","NIKE Inc.","Consumer Discretionary"
"NI","NiSource Inc.","Utilities"
"NBL","Noble Energy Inc","Energy"
"JWN","Nordstrom","Consumer Discretionary"
"NSC","Norfolk Southern Corp.","Industrials"
"NTRS","Northern Trust Corp.","Financials"
"NOC","Northrop Grumman Corp.","Industrials"
"NU","Northeast Utilities","Energy"
"NOVL","Novell Inc.","Information Technology"
"NVLS","Novellus Systems","Information Technology"
"NRG","NRG Energy","Utilities"
"NUE","Nucor Corp.","Materials"
"NVDA","Nvidia Corporation","Information Technology"
"NYX","NYSE Euronext","Financials"
"ORLY","O'Reilly Automotive","Consumer Discretionary"
"OXY","Occidental Petroleum","Energy"
"ODP","Office Depot","Consumer Discretionary"
"OMC","Omnicom Group","Consumer Discretionary"
