XCS,TSX,XCS
AAH,TSX,AASTRA TECHNOLOGIES LTD
AAV,TSX,Advantage Oil & Gas Ltd
ABT,TSX,ABSOLUTE SOFTWARE CORPORATIO
ACE.B,TSX,ACE AVIATION HOLDINGS INC-B
AFN,TSX,AG GROWTH INCOME FUND
AGF.B,TSX,AGF MANAGEMENT LTD-CL B
AGI,TSX,ALAMOS GOLD INC
ALAu,TSX,ALTAGAS INCOME TRUST
ALS,TSX,ALTIUS MINERALS CORPORATION
ANO,TSX,ANATOLIA MINERALS DEVELOPMNT
APu,TSX,ALLIED PROPERTIES REAL ESTAT
AQN,TSX,ALGONQUIN POWER & UTILITIES CO
ARE,TSX,AECON GROUP INC
ARFu,TSX,ARMTEC INFRASTRUCTURE INCOME
ARZ,TSX,AURIZON MINES LTD
ATA,TSX,ATS AUTOMATION TOOLING SYS
ATB,TSX,ATRIUM INNOVATIONS INC
AVM,TSX,ANVIL MINING LTD
BCB,TSX,COTT CORPORATION
BDTu,TSX,BIRD CONSTRUCTION INCOME FUN
BIN,TSX,IESI-BFC Ltd
BIR,TSX,BIRCHCLIFF ENERGY LTD
BNK,TSX,BANKERS PETROLEUM LTD
CAM,TSX,CANAM GROUP INC
CARu,TSX,CAN APARTMENT PROP REAL ESTA
CAS,TSX,CASCADES INC
CCA,TSX,COGECO CABLE INC
CCL.B,TSX,CCL INDUSTRIES INC - CL B
CDH,TSX,CORRIDOR RESOURCES INC
CET,TSX,CATHEDRAL ENERGY SERVICES LTD.
CF,TSX,Canaccord Financial Inc
CFP,TSX,CANFOR CORPORATION
CFW,TSX,CALFRAC WELL SERVICES LTD
CGXu,TSX,CINEPLEX GALAXY INCOME FUND
CHEu,TSX,CHEMTRADE LOGISTICS INCOME FUND
CJR.B,TSX,CORUS ENTERTAINMENT INC-B SH
CLCu,TSX,CML HEALTHCARE INCOME FUND
CLM,TSX,CONSOLIDATED THOMPSON IRON M
CLT,TSX,CELTIC EXPLORATION LTD
CMT,TSX,COMPTON PETROLEUM CORP
COM,TSX,CARDIOME PHARMA CORP
CPAu,TSX,Capital Power Income LP
CR,TSX,CREW ENERGY INC
CS,TSX,CAPSTONE MINING CORP
CSHu,TSX,CHARTWELL SENIORS HOUSING RE
CSI,TSX,COLOSSUS MINERALS INC
CTQ,TSX,CORRIENTE RESOURCES INC - A
