XEG,TSX,XEG
AAV,TSX,Advantage Oil & Gas Ltd
AETu,TSX,ARC ENERGY TRUSTuNITS
BIR,TSX,BIRCHCLIFF ENERGY LTD
BNK,TSX,BANKERS PETROLEUM LTD
BNPu,TSX,BONAVISTA ENERGY TRUST
BTEu,TSX,BAYTEX ENERGY TRUSTuNITS
CLT,TSX,CELTIC EXPLORATION LTD
CNQ,TSX,CANADIAN NATURAL RESOURCES
COSu,TSX,CANADIAN OIL SANDS TRUST
CPG,TSX,CRESCENT POINT ENERGY CORP
CR,TSX,CREW ENERGY INC
CVE,TSX,CENOVUS ENERGY INC
DAYu,TSX,DAYLIGHT RESOURCES TRUST
ECA,TSX,ENCANA CORP
ERFu,TSX,ENERPLUS RESOURCES FUND
ESI,TSX,ENSIGN ENERGY SERVICES INC
FRUu,TSX,FREEHOLD ROYALTY TRUST UTS
HSE,TSX,HUSKY ENERGY INC
IE,TSX,IVANHOE ENERGY INC
IMO,TSX,IMPERIAL OIL LTD
MTL,TSX,Mullen Group Ltd
NAEu,TSX,NAL OIL & GAS TRUSTuTS
NKO,TSX,NIKO RESOURCES LTD
NVA,TSX,NUVISTA ENERGY LTD
NXY,TSX,NEXEN INC
PBG,TSX,PETROBANK ENERGY&RESOURCES
PBN,TSX,PETROBAKKEN ENERGY LTD - A
PDu,TSX,PRECISION DRILLING TRUST UNIT
PEYu,TSX,PEYTO ENERGY TRUST
PGFu,TSX,PENGROWTH ENERGY TRUST
PMTu,TSX,PARAMOUNT ENERGY TRUST
PRE,TSX,PACIFIC RUBIALES ENERGY CORP
PRQ,TSX,PROGRESS ENERGY RESOURCES CORP
PSI,TSX,PASON SYSTEMS INC
PVEu,TSX,PROVIDENT ENERGY TRUSTuTS
PWTu,TSX,PENN WEST ENERGY TRUST
SCL.A,TSX,SHAWCOR LTD
SU,TSX,SUNCOR ENERGY INC
SVY,TSX,SAVANNA ENERGY SERVICES CORP
TCW,TSX,TRICAN WELL SERVICE LTD
TDG,TSX,TRINIDAD DRILLING LTD
TLM,TSX,TALISMAN ENERGY INC
UTS,TSX,UTS ENERGY CORP
VETu,TSX,VERMILION ENERGY TRUST
