XGD,TSX,XGD
ABX,TSX,BARRICK GOLD CORP
AEM,TSX,AGNICO-EAGLE MINES
AGI,TSX,ALAMOS GOLD INC
ANV,TSX,ALLIED NEVADA GOLD CORP
ARZ,TSX,AURIZON MINES LTD
AU,TSX,ANGLOGOLD ASHANTI-SPON ADR
BTO,TSX,B2GOLD CORP
CEE,TSX,CENTAMIN EGYPT LTD
CG,TSX,CENTERRA GOLD INC
CGA,TSX,CGA MINING LTD
CSI,TSX,COLOSSUS MINERALS INC
DGC,TSX,DETOUR GOLD CORP
EGU,TSX,EUROPEAN GOLDFIELDS LIMITED
ELD,TSX,ELDORADO GOLD CORPORATION
FNV,TSX,FRANCO-NEVADA CORP
G,TSX,GOLDCORP INC
GAM,TSX,GAMMON GOLD INC
GBG,TSX,GREAT BASIN GOLD LTD
GBU,TSX,GABRIEL RESOURCES LIMITED
GFI,TSX,GOLD FIELDS LTD-SPONS ADR
GOLD,TSX,RANDGOLD RESOURCES LTD-ADR
GSC,TSX,GOLDEN STAR RESOURCES LTD
GSL,TSX,GREYSTAR RESOURCES LTD
GUY,TSX,GUYANA GOLDFIELDS INC
HMY,TSX,HARMONY GOLD MNG-SPON ADR
IMG,TSX,IAMGOLD CORP
ITH,TSX,INTL TOWER HILL MINES LTD
JAG,TSX,JAGUAR MINING INC
JIN,TSX,JINSHAN GOLD MINES INC
K,TSX,KINROSS GOLD CORP
KGI,TSX,KIRKLAND LAKE GOLD INC
LIHR,TSX,LIHIR GOLD LTD-SPONSORED ADR
LSG,TSX,LAKE SHORE GOLD CORP
MFL,TSX,MINEFINDERS CORP
NEM,TSX,NEWMONT MINING CORP
NG,TSX,NOVAGOLD RESOURCES INC
NGD,TSX,NEW GOLD INC
NGX,TSX,NORTHGATE MINERALS CORP
NSU,TSX,NEVSUN RESOURCES LTD
OSK,TSX,OSISKO MINING CORP
RBI,TSX,RED BACK MINING INC
RGLD,TSX,ROYAL GOLD INC
RMX,TSX,RUBICON MINERALS CORP
SA,TSX,SEABRIDGE GOLD INC
SMF,TSX,SEMAFO INC
UXG,TSX,U S GOLD CORP
XG,TSX,EXTORRE GOLD MINES LTD
XRA,TSX,EXETER RESOURCE CORP
YRI,TSX,YAMANA GOLD INC
