XIU,TSX,XIU
ABX,TSX,BARRICK GOLD CORP
AEM,TSX,AGNICO-EAGLE MINES
AETu,TSX,ARC ENERGY TRUSTuNITS
AGU,TSX,AGRIUM INC
BAM.A,TSX,BROOKFIELD ASSET MANAGE-CL A
BBD.B,TSX,BOMBARDIER INC 'B'
BCE,TSX,BCE INC
BMO,TSX,BANK OF MONTREAL
BNS,TSX,BANK OF NOVA SCOTIA
BVF,TSX,BIOVAIL CORPORATION
CCO,TSX,CAMECO CORP
CM,TSX,CAN IMPERIAL BK OF COMMERCE
CNQ,TSX,CANADIAN NATURAL RESOURCES
CNR,TSX,CANADIAN NATL RAILWAY CO
COSu,TSX,CANADIAN OIL SANDS TRUST
CP,TSX,CANADIAN PACIFIC RAILWAY LTD
CTC.A,TSX,CANADIAN TIRE CORP -CL A
CVE,TSX,CENOVUS ENERGY INC
ECA,TSX,ENCANA CORP
ELD,TSX,ELDORADO GOLD CORPORATION
ENB,TSX,ENBRIDGE INC
ERFu,TSX,ENERPLUS RESOURCES FUND
FM,TSX,FIRST QUANTUM MINERALS LTD
FTS,TSX,FORTIS INC
G,TSX,GOLDCORP INC
GIL,TSX,GILDAN ACTIVEWEAR INC
HSE,TSX,HUSKY ENERGY INC
IMG,TSX,IAMGOLD CORP
IMN,TSX,INMET MINING CORPORATION
IMO,TSX,IMPERIAL OIL LTD
K,TSX,KINROSS GOLD CORP
L,TSX,LOBLAW COMPANIES LTD
MFC,TSX,MANULIFE FINANCIAL CORP
MG.A,TSX,MAGNA INTERNATIONAL INC-CL A
MRU.A,TSX,METRO INC -A
NA,TSX,NATIONAL BANK OF CANADA
NXY,TSX,NEXEN INC
POT,TSX,POTASH CORP OF SASKATCHEWAN
POW,TSX,POWER CORP OF CANADA
PWTu,TSX,PENN WEST ENERGY TRUST
RCI.B,TSX,ROGERS COMMUNICATIONS -CL B
RIM,TSX,RESEARCH IN MOTION
RY,TSX,ROYAL BANK OF CANADA
SAP,TSX,SAPUTO INC
SC,TSX,SHOPPERS DRUG MART CORP
SJR.B,TSX,SHAW COMMUNICATIONS INC-B
SLF,TSX,SUN LIFE FINANCIAL INC
SNC,TSX,SNC-LAVALIN GROUP INC
SU,TSX,SUNCOR ENERGY INC
T,TSX,TELUS CORP
TA,TSX,TRANSALTA CORP
TCK.B,TSX,TECK RESOURCES LTD-CL B
TD,TSX,TORONTO-DOMINION BANK
THI,TSX,TIM HORTONS INC
TLM,TSX,TALISMAN ENERGY INC
TRI,TSX,THOMSON REUTERS CORP
TRP,TSX,TRANSCANADA CORP
WN,TSX,WESTON (GEORGE) LTD
YLOu,TSX,YELLOW PAGES INCOME FUND
YRI,TSX,YAMANA GOLD INC
