XMD,TSX,XMD
AAV,TSX,Advantage Oil & Gas Ltd
ACM.A,TSX,ASTRAL MEDIA INC
ACO.X,TSX,ATCO LTD -CL 'I'
AER,TSX,GROUPE AEROPLAN INC
AGF.B,TSX,AGF MANAGEMENT LTD-CL B
AGI,TSX,ALAMOS GOLD INC
ALAu,TSX,ALTAGAS INCOME TRUST
ARE,TSX,AECON GROUP INC
ARZ,TSX,AURIZON MINES LTD
ATD.B,TSX,ALIMENTATION COUCHE-TARD -B
ATP,TSX,ATLANTIC POWER CORP
BAu,TSX,BELL ALIANT REGIONAL COMMUNI
BCB,TSX,COTT CORPORATION
BEIu,TSX,BOARDWALK REAL ESTATE INVEST
BIN,TSX,IESI-BFC Ltd
BIR,TSX,BIRCHCLIFF ENERGY LTD
BNK,TSX,BANKERS PETROLEUM LTD
BNPu,TSX,BONAVISTA ENERGY TRUST
BPO,TSX,BROOKFIELD PROPERTIES CORP
BRCu,TSX,GREAT LAKES HYDRO INCOME FND
BTEu,TSX,BAYTEX ENERGY TRUSTuNITS
CAE,TSX,CAE INC
CARu,TSX,CAN APARTMENT PROP REAL ESTA
CCA,TSX,COGECO CABLE INC
CCL.B,TSX,CCL INDUSTRIES INC - CL B
CFP,TSX,CANFOR CORPORATION
CG,TSX,CENTERRA GOLD INC
CGXu,TSX,CINEPLEX GALAXY INCOME FUND
CIX,TSX,CI Financial Corp
CJR.B,TSX,CORUS ENTERTAINMENT INC-B SH
CLCu,TSX,CML HEALTHCARE INCOME FUND
CLM,TSX,CONSOLIDATED THOMPSON IRON M
CLS,TSX,CELESTICA INC
CLT,TSX,CELTIC EXPLORATION LTD
CPAu,TSX,Capital Power Income LP
CPG,TSX,CRESCENT POINT ENERGY CORP
CR,TSX,CREW ENERGY INC
CSHu,TSX,CHARTWELL SENIORS HOUSING RE
CU,TSX,CANADIAN UTILITIES LTD A
CUFu,TSX,COMINAR REAL ESTATE INV-TR U
CWB,TSX,CANADIAN WESTERN BANK
CWTu,TSX,CALLOWAY REAL ESTATE INVESTM
Du,TSX,DUNDEE REAL ESTATE INVESTMEN
DAYu,TSX,DAYLIGHT RESOURCES TRUST
DC.A,TSX,DUNDEE CORP -CL A
DGC,TSX,DETOUR GOLD CORP
DHFu,TSX,DAVIS + HENDERSON INCOME FND
DII.B,TSX,DOREL INDUSTRIES-CL B
EGU,TSX,EUROPEAN GOLDFIELDS LIMITED
ELR,TSX,EASTERN PLATINUM LTD
EMA,TSX,EMERA INC
EMP.A,TSX,EMPIRE CO LTD 'A'
EQN,TSX,EQUINOX MINERALS LTD
ESI,TSX,ENSIGN ENERGY SERVICES INC
EXEu,TSX,EXTENDICARE REAL ESTATE INVE
FCEu,TSX,FORT CHICAGO ENERGY LP -CLASS A
FFH,TSX,FAIRFAX FINANCIAL HLDGS LTD
FGL,TSX,FORZANI GROUP LTD-CL A
FNV,TSX,FRANCO-NEVADA CORP
FNX,TSX,FNX MINING CO INC
FRUu,TSX,FREEHOLD ROYALTY TRUST UTS
FSV,TSX,FIRSTSERVICE CORP
FTT,TSX,FINNING INTERNATIONAL INC
GAM,TSX,GAMMON GOLD INC
GBG,TSX,GREAT BASIN GOLD LTD
GBU,TSX,GABRIEL RESOURCES LIMITED
GIB.A,TSX,CGI GROUP INC - CL A
GMP,TSX,GMP CAPITAL INC
GNA,TSX,GERDAU AMERISTEEL CORP
