XTR,TSX,XTR
AETu,TSX,ARC ENERGY TRUSTuNITS
ALAu,TSX,ALTAGAS INCOME TRUST
BAu,TSX,BELL ALIANT REGIONAL COMMUNI
BEIu,TSX,BOARDWALK REAL ESTATE INVEST
BNPu,TSX,BONAVISTA ENERGY TRUST
BRCu,TSX,GREAT LAKES HYDRO INCOME FND
BTEu,TSX,BAYTEX ENERGY TRUSTuNITS
CARu,TSX,CAN APARTMENT PROP REAL ESTA
CGXu,TSX,CINEPLEX GALAXY INCOME FUND
CLCu,TSX,CML HEALTHCARE INCOME FUND
COSu,TSX,CANADIAN OIL SANDS TRUST
CPAu,TSX,Capital Power Income LP
CSHu,TSX,CHARTWELL SENIORS HOUSING RE
CUFu,TSX,COMINAR REAL ESTATE INV-TR U
CWTu,TSX,CALLOWAY REAL ESTATE INVESTM
Du,TSX,DUNDEE REAL ESTATE INVESTMEN
DAYu,TSX,DAYLIGHT RESOURCES TRUST
DHFu,TSX,DAVIS + HENDERSON INCOME FND
ERFu,TSX,ENERPLUS RESOURCES FUND
EXEu,TSX,EXTENDICARE REAL ESTATE INVE
FCEu,TSX,FORT CHICAGO ENERGY LP -CLASS A
FRUu,TSX,FREEHOLD ROYALTY TRUST UTS
HRu,TSX,H&R REAL ESTATE INVSTMNTuTS
IPLu,TSX,INTER PIPELINE FUND LP - A
JAZu,TSX,JAZZ AIR INCOME FUND
JEu,TSX,Just Energy Income Fund
KEYu,TSX,KEYERA FACILITIES INCOME FD
LIFu,TSX,LABRADOR IRON ORE ROYALTY TR
NAEu,TSX,NAL OIL & GAS TRUSTuTS
NPIu,TSX,NORTHLAND POWER INCOME TR UT
NWFu,TSX,NORTH WEST COMPANY FUND
PDu,TSX,PRECISION DRILLING TRUST UNIT
PEYu,TSX,PEYTO ENERGY TRUST
PGFu,TSX,PENGROWTH ENERGY TRUST
PIFu,TSX,PEMBINA PIPELINE INC-TR UTS
PMTu,TSX,PARAMOUNT ENERGY TRUST
PMZu,TSX,PRIMARIS RETAIL REAL ESTATE
PVEu,TSX,PROVIDENT ENERGY TRUSTuTS
PWTu,TSX,PENN WEST ENERGY TRUST
REFu,TSX,CAN REAL ESTATE INVEST TRUST
REIu,TSX,RIOCAN REAL ESTATE INVST TR
VETu,TSX,VERMILION ENERGY TRUST
WTEu,TSX,WESTSHORE TERMINALS INC FD
YLOu,TSX,YELLOW PAGES INCOME FUND
