XCS.TO,TSX,XCS
AAH.TO,TSX,AASTRA TECHNOLOGIES LTD
AAV.TO,TSX,Advantage Oil & Gas Ltd
ABT.TO,TSX,ABSOLUTE SOFTWARE CORPORATIO
ACE.B.TO,TSX,ACE AVIATION HOLDINGS INC-B
AFN.TO,TSX,AG GROWTH INCOME FUND
AGF.B.TO,TSX,AGF MANAGEMENT LTD-CL B
AGI.TO,TSX,ALAMOS GOLD INC
ALAu.TO,TSX,ALTAGAS INCOME TRUST
ALS.TO,TSX,ALTIUS MINERALS CORPORATION
ANO.TO,TSX,ANATOLIA MINERALS DEVELOPMNT
APu.TO,TSX,ALLIED PROPERTIES REAL ESTAT
AQN.TO,TSX,ALGONQUIN POWER & UTILITIES CO
ARE.TO,TSX,AECON GROUP INC
ARFu.TO,TSX,ARMTEC INFRASTRUCTURE INCOME
ARZ.TO,TSX,AURIZON MINES LTD
ATA.TO,TSX,ATS AUTOMATION TOOLING SYS
ATB.TO,TSX,ATRIUM INNOVATIONS INC
AVM.TO,TSX,ANVIL MINING LTD
BCB.TO,TSX,COTT CORPORATION
BDTu.TO,TSX,BIRD CONSTRUCTION INCOME FUN
BIN.TO,TSX,IESI-BFC Ltd
BIR.TO,TSX,BIRCHCLIFF ENERGY LTD
BNK.TO,TSX,BANKERS PETROLEUM LTD
CAM.TO,TSX,CANAM GROUP INC
CARu.TO,TSX,CAN APARTMENT PROP REAL ESTA
CAS.TO,TSX,CASCADES INC
CCA.TO,TSX,COGECO CABLE INC
CCL.B.TO,TSX,CCL INDUSTRIES INC - CL B
CDH.TO,TSX,CORRIDOR RESOURCES INC
CET.TO,TSX,CATHEDRAL ENERGY SERVICES LTD.
CF.TO,TSX,Canaccord Financial Inc
CFP.TO,TSX,CANFOR CORPORATION
CFW.TO,TSX,CALFRAC WELL SERVICES LTD
CGXu.TO,TSX,CINEPLEX GALAXY INCOME FUND
CHEu.TO,TSX,CHEMTRADE LOGISTICS INCOME FUND
CJR.B.TO,TSX,CORUS ENTERTAINMENT INC-B SH
CLCu.TO,TSX,CML HEALTHCARE INCOME FUND
CLM.TO,TSX,CONSOLIDATED THOMPSON IRON M
CLT.TO,TSX,CELTIC EXPLORATION LTD
CMT.TO,TSX,COMPTON PETROLEUM CORP
COM.TO,TSX,CARDIOME PHARMA CORP
CPAu.TO,TSX,Capital Power Income LP
CR.TO,TSX,CREW ENERGY INC
CS.TO,TSX,CAPSTONE MINING CORP
CSHu.TO,TSX,CHARTWELL SENIORS HOUSING RE
CSI.TO,TSX,COLOSSUS MINERALS INC
CTQ.TO,TSX,CORRIENTE RESOURCES INC - A
CUFu.TO,TSX,COMINAR REAL ESTATE INV-TR U
CUQ.TO,TSX,CHURCHILL CORP.THE-A
CWB.TO,TSX,CANADIAN WESTERN BANK
CWIu.TO,TSX,CONSUMERS WATERHEATER INCOM
CWTu.TO,TSX,CALLOWAY REAL ESTATE INVESTM
