symbol,venue,company
XEG.TO,TSX,XEG
AAV.TO,TSX,Advantage Oil & Gas Ltd
AETu.TO,TSX,ARC ENERGY TRUSTuNITS
BIR.TO,TSX,BIRCHCLIFF ENERGY LTD
BNK.TO,TSX,BANKERS PETROLEUM LTD
BNPu.TO,TSX,BONAVISTA ENERGY TRUST
BTEu.TO,TSX,BAYTEX ENERGY TRUSTuNITS
CLT.TO,TSX,CELTIC EXPLORATION LTD
CNQ.TO,TSX,CANADIAN NATURAL RESOURCES
COSu.TO,TSX,CANADIAN OIL SANDS TRUST
CPG.TO,TSX,CRESCENT POINT ENERGY CORP
CR.TO,TSX,CREW ENERGY INC
CVE.TO,TSX,CENOVUS ENERGY INC
DAYu.TO,TSX,DAYLIGHT RESOURCES TRUST
ECA.TO,TSX,ENCANA CORP
ERFu.TO,TSX,ENERPLUS RESOURCES FUND
ESI.TO,TSX,ENSIGN ENERGY SERVICES INC
FRUu.TO,TSX,FREEHOLD ROYALTY TRUST UTS
HSE.TO,TSX,HUSKY ENERGY INC
IE.TO,TSX,IVANHOE ENERGY INC
IMO.TO,TSX,IMPERIAL OIL LTD
MTL.TO,TSX,Mullen Group Ltd
NAEu.TO,TSX,NAL OIL & GAS TRUSTuTS
NKO.TO,TSX,NIKO RESOURCES LTD
NVA.TO,TSX,NUVISTA ENERGY LTD
NXY.TO,TSX,NEXEN INC
PBG.TO,TSX,PETROBANK ENERGY&RESOURCES
PBN.TO,TSX,PETROBAKKEN ENERGY LTD - A
PDu.TO,TSX,PRECISION DRILLING TRUST UNIT
PEYu.TO,TSX,PEYTO ENERGY TRUST
PGFu.TO,TSX,PENGROWTH ENERGY TRUST
PMTu.TO,TSX,PARAMOUNT ENERGY TRUST
PRE.TO,TSX,PACIFIC RUBIALES ENERGY CORP
PRQ.TO,TSX,PROGRESS ENERGY RESOURCES CORP
PSI.TO,TSX,PASON SYSTEMS INC
PVEu.TO,TSX,PROVIDENT ENERGY TRUSTuTS
PWTu.TO,TSX,PENN WEST ENERGY TRUST
SCL.A.TO,TSX,SHAWCOR LTD
SU.TO,TSX,SUNCOR ENERGY INC
SVY.TO,TSX,SAVANNA ENERGY SERVICES CORP
TCW.TO,TSX,TRICAN WELL SERVICE LTD
TDG.TO,TSX,TRINIDAD DRILLING LTD
TLM.TO,TSX,TALISMAN ENERGY INC
UTS.TO,TSX,UTS ENERGY CORP
VETu.TO,TSX,VERMILION ENERGY TRUST
