symbol,venue,company
XFN.TO,TSX,XFN
AGF.B.TO,TSX,AGF MANAGEMENT LTD-CL B
BMO.TO,TSX,BANK OF MONTREAL
BNS.TO,TSX,BANK OF NOVA SCOTIA
CIX.TO,TSX,CI Financial Corp
CM.TO,TSX,CAN IMPERIAL BK OF COMMERCE
CWB.TO,TSX,CANADIAN WESTERN BANK
DC.A.TO,TSX,DUNDEE CORP -CL A
DHFu.TO,TSX,DAVIS + HENDERSON INCOME FND
FFH.TO,TSX,FAIRFAX FINANCIAL HLDGS LTD
GMP.TO,TSX,GMP CAPITAL INC
GWO.TO,TSX,GREAT-WEST LIFECO INC
HCG.TO,TSX,HOME CAPITAL GROUP INC
IAG.TO,TSX,INDUSTRIAL ALLIANCE INSURANC
IFC.TO,TSX,Intact Financial Corp
IGM.TO,TSX,IGM FINANCIAL INC
LB.TO,TSX,LAURENTIAN BANK OF CANADA
MFC.TO,TSX,MANULIFE FINANCIAL CORP
NA.TO,TSX,NATIONAL BANK OF CANADA
OCX.TO,TSX,ONEX CORPORATION
POW.TO,TSX,POWER CORP OF CANADA
PWF.TO,TSX,POWER FINANCIAL CORP
RY.TO,TSX,ROYAL BANK OF CANADA
SLF.TO,TSX,SUN LIFE FINANCIAL INC
TD.TO,TSX,TORONTO-DOMINION BANK
X.TO,TSX,TMX GROUP INC
