symbol,venue,company
XGD.TO,TSX,XGD
ABX.TO,TSX,BARRICK GOLD CORP
AEM.TO,TSX,AGNICO-EAGLE MINES
AGI.TO,TSX,ALAMOS GOLD INC
ANV.TO,TSX,ALLIED NEVADA GOLD CORP
ARZ.TO,TSX,AURIZON MINES LTD
AU.TO,TSX,ANGLOGOLD ASHANTI-SPON ADR
.TO,TSX,B2GOLD CORP
CEE.TO,TSX,CENTAMIN EGYPT LTD
CG.TO,TSX,CENTERRA GOLD INC
CGA.TO,TSX,CGA MINING LTD
CSI.TO,TSX,COLOSSUS MINERALS INC
DGC.TO,TSX,DETOUR GOLD CORP
EGU.TO,TSX,EUROPEAN GOLDFIELDS LIMITED
ELD.TO,TSX,ELDORADO GOLD CORPORATION
FNV.TO,TSX,FRANCO-NEVADA CORP
G.TO,TSX,GOLDCORP INC
GAM.TO,TSX,GAMMON GOLD INC
GBG.TO,TSX,GREAT BASIN GOLD LTD
GBU.TO,TSX,GABRIEL RESOURCES LIMITED
GFI.TO,TSX,GOLD FIELDS LTD-SPONS ADR
GOLD.TO,TSX,RANDGOLD RESOURCES LTD-ADR
GSC.TO,TSX,GOLDEN STAR RESOURCES LTD
GSL.TO,TSX,GREYSTAR RESOURCES LTD
GUY.TO,TSX,GUYANA GOLDFIELDS INC
HMY.TO,TSX,HARMONY GOLD MNG-SPON ADR
IMG.TO,TSX,IAMGOLD CORP
ITH.TO,TSX,INTL TOWER HILL MINES LTD
JAG.TO,TSX,JAGUAR MINING INC
JIN.TO,TSX,JINSHAN GOLD MINES INC
K.TO,TSX,KINROSS GOLD CORP
KGI.TO,TSX,KIRKLAND LAKE GOLD INC
LIHR.TO,TSX,LIHIR GOLD LTD-SPONSORED ADR
LSG.TO,TSX,LAKE SHORE GOLD CORP
MFL.TO,TSX,MINEFINDERS CORP
NEM.TO,TSX,NEWMONT MINING CORP
NG.TO,TSX,NOVAGOLD RESOURCES INC
NGD.TO,TSX,NEW GOLD INC
NGX.TO,TSX,NORTHGATE MINERALS CORP
NSU.TO,TSX,NEVSUN RESOURCES LTD
OSK.TO,TSX,OSISKO MINING CORP
RBI.TO,TSX,RED BACK MINING INC
RGLD.TO,TSX,ROYAL GOLD INC
RMX.TO,TSX,RUBICON MINERALS CORP
SA.TO,TSX,SEABRIDGE GOLD INC
SMF.TO,TSX,SEMAFO INC
UXG.TO,TSX,U S GOLD CORP
XG.TO,TSX,EXTORRE GOLD MINES LTD
XRA.TO,TSX,EXETER RESOURCE CORP
YRI.TO,TSX,YAMANA GOLD INC
