symbol,venue,company
XIC.TO,TSX,XIC
AAV.TO,TSX,Advantage Oil & Gas Ltd
ABX.TO,TSX,BARRICK GOLD CORP
ACM.A.TO,TSX,ASTRAL MEDIA INC
ACO.X.TO,TSX,ATCO LTD -CL 'I'
AEM.TO,TSX,AGNICO-EAGLE MINES
AER.TO,TSX,GROUPE AEROPLAN INC
AETu.TO,TSX,ARC ENERGY TRUSTuNITS
AGF.B.TO,TSX,AGF MANAGEMENT LTD-CL B
AGI.TO,TSX,ALAMOS GOLD INC
AGU.TO,TSX,AGRIUM INC
ALAu.TO,TSX,ALTAGAS INCOME TRUST
ARE.TO,TSX,AECON GROUP INC
ARZ.TO,TSX,AURIZON MINES LTD
ATD.B.TO,TSX,ALIMENTATION COUCHE-TARD -B
ATP.TO,TSX,ATLANTIC POWER CORP
BAM.A.TO,TSX,BROOKFIELD ASSET MANAGE-CL A
BAu.TO,TSX,BELL ALIANT REGIONAL COMMUNI
BBD.B.TO,TSX,BOMBARDIER INC 'B'
BCB.TO,TSX,COTT CORPORATION
BCE.TO,TSX,BCE INC
BEIu.TO,TSX,BOARDWALK REAL ESTATE INVEST
BIN.TO,TSX,IESI-BFC Ltd
BIR.TO,TSX,BIRCHCLIFF ENERGY LTD
BMO.TO,TSX,BANK OF MONTREAL
BNK.TO,TSX,BANKERS PETROLEUM LTD
BNPu.TO,TSX,BONAVISTA ENERGY TRUST
BNS.TO,TSX,BANK OF NOVA SCOTIA
BPO.TO,TSX,BROOKFIELD PROPERTIES CORP
BRCu.TO,TSX,GREAT LAKES HYDRO INCOME FND
BTEu.TO,TSX,BAYTEX ENERGY TRUSTuNITS
BVF.TO,TSX,BIOVAIL CORPORATION
CAE.TO,TSX,CAE INC
CARu.TO,TSX,CAN APARTMENT PROP REAL ESTA
CCA.TO,TSX,COGECO CABLE INC
CCL.B.TO,TSX,CCL INDUSTRIES INC - CL B
CCO.TO,TSX,CAMECO CORP
CFP.TO,TSX,CANFOR CORPORATION
CG.TO,TSX,CENTERRA GOLD INC
CGXu.TO,TSX,CINEPLEX GALAXY INCOME FUND
CIX.TO,TSX,CI Financial Corp
CJR.B.TO,TSX,CORUS ENTERTAINMENT INC-B SH
CLCu.TO,TSX,CML HEALTHCARE INCOME FUND
CLM.TO,TSX,CONSOLIDATED THOMPSON IRON M
CLS.TO,TSX,CELESTICA INC
CLT.TO,TSX,CELTIC EXPLORATION LTD
CM.TO,TSX,CAN IMPERIAL BK OF COMMERCE
CNQ.TO,TSX,CANADIAN NATURAL RESOURCES
CNR.TO,TSX,CANADIAN NATL RAILWAY CO
COSu.TO,TSX,CANADIAN OIL SANDS TRUST
CP.TO,TSX,CANADIAN PACIFIC RAILWAY LTD
CPAu.TO,TSX,Capital Power Income LP
CPG.TO,TSX,CRESCENT POINT ENERGY CORP
CR.TO,TSX,CREW ENERGY INC
CSHu.TO,TSX,CHARTWELL SENIORS HOUSING RE
CTC.A.TO,TSX,CANADIAN TIRE CORP -CL A
CU.TO,TSX,CANADIAN UTILITIES LTD A
CUFu.TO,TSX,COMINAR REAL ESTATE INV-TR U
CVE.TO,TSX,CENOVUS ENERGY INC
CWB.TO,TSX,CANADIAN WESTERN BANK
CWTu.TO,TSX,CALLOWAY REAL ESTATE INVESTM
DAYu.TO,TSX,DAYLIGHT RESOURCES TRUST
DC.A.TO,TSX,DUNDEE CORP -CL A
DGC.TO,TSX,DETOUR GOLD CORP
DHFu.TO,TSX,DAVIS + HENDERSON INCOME FND
DII.B.TO,TSX,DOREL INDUSTRIES-CL B
Du.TO,TSX,DUNDEE REAL ESTATE INVESTMEN
ECA.TO,TSX,ENCANA CORP
EGU.TO,TSX,EUROPEAN GOLDFIELDS LIMITED
ELD.TO,TSX,ELDORADO GOLD CORPORATION
ELR.TO,TSX,EASTERN PLATINUM LTD
EMA.TO,TSX,EMERA INC
EMP.A.TO,TSX,EMPIRE CO LTD 'A'
ENB.TO,TSX,ENBRIDGE INC
EQN.TO,TSX,EQUINOX MINERALS LTD
ERFu.TO,TSX,ENERPLUS RESOURCES FUND
ESI.TO,TSX,ENSIGN ENERGY SERVICES INC
EXEu.TO,TSX,EXTENDICARE REAL ESTATE INVE
FCEu.TO,TSX,FORT CHICAGO ENERGY LP -CLASS A
FFH.TO,TSX,FAIRFAX FINANCIAL HLDGS LTD
FGL.TO,TSX,FORZANI GROUP LTD-CL A
FM.TO,TSX,FIRST QUANTUM MINERALS LTD
FNV.TO,TSX,FRANCO-NEVADA CORP
FNX.TO,TSX,FNX MINING CO INC
FRUu.TO,TSX,FREEHOLD ROYALTY TRUST UTS
FSV.TO,TSX,FIRSTSERVICE CORP
FTS.TO,TSX,FORTIS INC
FTT.TO,TSX,FINNING INTERNATIONAL INC
G.TO,TSX,GOLDCORP INC
GAM.TO,TSX,GAMMON GOLD INC
GBG.TO,TSX,GREAT BASIN GOLD LTD
GBU.TO,TSX,GABRIEL RESOURCES LIMITED
GIB.A.TO,TSX,CGI GROUP INC - CL A
GIL.TO,TSX,GILDAN ACTIVEWEAR INC
GMP.TO,TSX,GMP CAPITAL INC
GNA.TO,TSX,GERDAU AMERISTEEL CORP
GSC.TO,TSX,GOLDEN STAR RESOURCES LTD
GWO.TO,TSX,GREAT-WEST LIFECO INC
