symbol,venue,company
XIU.TO,TSX,XIU
ABX.TO,TSX,BARRICK GOLD CORP
AEM.TO,TSX,AGNICO-EAGLE MINES
AETu.TO,TSX,ARC ENERGY TRUSTuNITS
AGU.TO,TSX,AGRIUM INC
BAM.A.TO,TSX,BROOKFIELD ASSET MANAGE-CL A
BBD.B.TO,TSX,BOMBARDIER INC 'B'
BCE.TO,TSX,BCE INC
BMO.TO,TSX,BANK OF MONTREAL
BNS.TO,TSX,BANK OF NOVA SCOTIA
BVF.TO,TSX,BIOVAIL CORPORATION
CCO.TO,TSX,CAMECO CORP
CM.TO,TSX,CAN IMPERIAL BK OF COMMERCE
CNQ.TO,TSX,CANADIAN NATURAL RESOURCES
CNR.TO,TSX,CANADIAN NATL RAILWAY CO
COSu.TO,TSX,CANADIAN OIL SANDS TRUST
CP.TO,TSX,CANADIAN PACIFIC RAILWAY LTD
CTC.A.TO,TSX,CANADIAN TIRE CORP -CL A
CVE.TO,TSX,CENOVUS ENERGY INC
ECA.TO,TSX,ENCANA CORP
ELD.TO,TSX,ELDORADO GOLD CORPORATION
ENB.TO,TSX,ENBRIDGE INC
ERFu.TO,TSX,ENERPLUS RESOURCES FUND
FM.TO,TSX,FIRST QUANTUM MINERALS LTD
FTS.TO,TSX,FORTIS INC
G.TO,TSX,GOLDCORP INC
GIL.TO,TSX,GILDAN ACTIVEWEAR INC
HSE.TO,TSX,HUSKY ENERGY INC
IMG.TO,TSX,IAMGOLD CORP
IMN.TO,TSX,INMET MINING CORPORATION
IMO.TO,TSX,IMPERIAL OIL LTD
K.TO,TSX,KINROSS GOLD CORP
L.TO,TSX,LOBLAW COMPANIES LTD
MFC.TO,TSX,MANULIFE FINANCIAL CORP
MG.A.TO,TSX,MAGNA INTERNATIONAL INC-CL A
MRU.A.TO,TSX,METRO INC -A
NA.TO,TSX,NATIONAL BANK OF CANADA
NXY.TO,TSX,NEXEN INC
POT.TO,TSX,POTASH CORP OF SASKATCHEWAN
POW.TO,TSX,POWER CORP OF CANADA
PWTu.TO,TSX,PENN WEST ENERGY TRUST
RCI.B.TO,TSX,ROGERS COMMUNICATIONS -CL B
RIM.TO,TSX,RESEARCH IN MOTION
RY.TO,TSX,ROYAL BANK OF CANADA
SAP.TO,TSX,SAPUTO INC
SC.TO,TSX,SHOPPERS DRUG MART CORP
SJR.B.TO,TSX,SHAW COMMUNICATIONS INC-B
SLF.TO,TSX,SUN LIFE FINANCIAL INC
SNC.TO,TSX,SNC-LAVALIN GROUP INC
SU.TO,TSX,SUNCOR ENERGY INC
T.TO,TSX,TELUS CORP
TA.TO,TSX,TRANSALTA CORP
TCK.B.TO,TSX,TECK RESOURCES LTD-CL B
TD.TO,TSX,TORONTO-DOMINION BANK
THI.TO,TSX,TIM HORTONS INC
TLM.TO,TSX,TALISMAN ENERGY INC
TRI.TO,TSX,THOMSON REUTERS CORP
TRP.TO,TSX,TRANSCANADA CORP
WN.TO,TSX,WESTON (GEORGE) LTD
YLOu.TO,TSX,YELLOW PAGES INCOME FUND
YRI.TO,TSX,YAMANA GOLD INC
