symbol,venue,company
XTR.TO,TSX,XTR
AETu.TO,TSX,ARC ENERGY TRUSTuNITS
ALAu.TO,TSX,ALTAGAS INCOME TRUST
BAu.TO,TSX,BELL ALIANT REGIONAL COMMUNI
BEIu.TO,TSX,BOARDWALK REAL ESTATE INVEST
BNPu.TO,TSX,BONAVISTA ENERGY TRUST
BRCu.TO,TSX,GREAT LAKES HYDRO INCOME FND
BTEu.TO,TSX,BAYTEX ENERGY TRUSTuNITS
CARu.TO,TSX,CAN APARTMENT PROP REAL ESTA
CGXu.TO,TSX,CINEPLEX GALAXY INCOME FUND
CLCu.TO,TSX,CML HEALTHCARE INCOME FUND
COSu.TO,TSX,CANADIAN OIL SANDS TRUST
CPAu.TO,TSX,Capital Power Income LP
CSHu.TO,TSX,CHARTWELL SENIORS HOUSING RE
CUFu.TO,TSX,COMINAR REAL ESTATE INV-TR U
CWTu.TO,TSX,CALLOWAY REAL ESTATE INVESTM
Du.TO,TSX,DUNDEE REAL ESTATE INVESTMEN
DAYu.TO,TSX,DAYLIGHT RESOURCES TRUST
DHFu.TO,TSX,DAVIS + HENDERSON INCOME FND
ERFu.TO,TSX,ENERPLUS RESOURCES FUND
EXEu.TO,TSX,EXTENDICARE REAL ESTATE INVE
FCEu.TO,TSX,FORT CHICAGO ENERGY LP -CLASS A
FRUu.TO,TSX,FREEHOLD ROYALTY TRUST UTS
HRu.TO,TSX,H&R REAL ESTATE INVSTMNTuTS
IPLu.TO,TSX,INTER PIPELINE FUND LP - A
JAZu.TO,TSX,JAZZ AIR INCOME FUND
JEu.TO,TSX,Just Energy Income Fund
KEYu.TO,TSX,KEYERA FACILITIES INCOME FD
LIFu.TO,TSX,LABRADOR IRON ORE ROYALTY TR
NAEu.TO,TSX,NAL OIL & GAS TRUSTuTS
NPIu.TO,TSX,NORTHLAND POWER INCOME TR UT
NWFu.TO,TSX,NORTH WEST COMPANY FUND
PDu.TO,TSX,PRECISION DRILLING TRUST UNIT
PEYu.TO,TSX,PEYTO ENERGY TRUST
PGFu.TO,TSX,PENGROWTH ENERGY TRUST
PIFu.TO,TSX,PEMBINA PIPELINE INC-TR UTS
PMTu.TO,TSX,PARAMOUNT ENERGY TRUST
PMZu.TO,TSX,PRIMARIS RETAIL REAL ESTATE
PVEu.TO,TSX,PROVIDENT ENERGY TRUSTuTS
PWTu.TO,TSX,PENN WEST ENERGY TRUST
REFu.TO,TSX,CAN REAL ESTATE INVEST TRUST
REIu.TO,TSX,RIOCAN REAL ESTATE INVST TR
VETu.TO,TSX,VERMILION ENERGY TRUST
WTEu.TO,TSX,WESTSHORE TERMINALS INC FD
YLOu.TO,TSX,YELLOW PAGES INCOME FUND
