AAV.TO,2010-05-13,2010:Q1
ARE.TO,2010-05-04,2010:Q1
AGF.B.TO,2010-03-24,2010:Q1
AEM.TO,2010-04-29,2010:Q1
AGU.TO,2010-05-05,2010:Q1
AGI.TO,2010-05-06,2010:Q1
ATD.B.TO,2010-03-09,2010:Q3
ALAu.TO,2010-04-29,2010:Q1
AETu.TO,2010-05-05,2010:Q1
ACM.A.TO,2010-04-08,2010:Q2
ACO.X.TO,2010-04-30,2010:Q1
ATP.TO,2010-05-14,2010:Q1
ARZ.TO,2010-05-12,2010:Q1
BMO.TO,2010-05-26,2010:Q2
BNS.TO,2010-03-09,2010:Q1
BNK.TO,2010-05-14,2010:Q1
ABX.TO,2010-04-28,2010:Q1
BTEu.TO,2010-05-11,2010:Q1
BCE.TO,2010-05-06,2010:Q1
BAu.TO,2010-05-04,2010:Q1
BVF.TO,2010-05-06,2010:Q1
BIR.TO,2010-05-11,2010:Q1
BEIu.TO,2010-05-17,2010:Q1
BBD.B.TO,2010-04-01,2010:A
BNPu.TO,2010-05-06,2010:Q1
BAM.A.TO,2010-05-06,2010:Q1
BPO.TO,2010-05-06,2010:Q1
BRCu.TO,2010-05-13,2010:Q1
CAE.TO,2010-05-13,2010:A
CWTu.TO,2010-05-05,2010:Q1
CCO.TO,2010-05-04,2010:Q1
CARu.TO,2010-05-11,2010:Q1
CM.TO,2010-05-27,2010:Q2
CNR.TO,2010-04-26,2010:Q1
CNQ.TO,2010-05-06,2010:Q1
COSu.TO,2010-04-29,2010:Q1
CP.TO,2010-04-28,2010:Q1
REFu.TO,2010-05-07,2010:Q1
CTC.A.TO,2010-05-13,2010:Q1
CU.TO,2010-04-30,2010:Q1
CWB.TO,2010-03-04,2010:Q1
CFP.TO,2010-04-28,2010:Q1
,1-1-2010,
CCL.B.TO,2010-05-06,2010:Q1
CLS.TO,2010-04-22,2010:Q1
CLT.TO,2010-05-10,2010:Q1
CVE.TO,2010-04-29,2010:Q1
CG.TO,2010-04-28,2010:Q1
GIB.A.TO,2010-04-28,2010:Q2
CSHu.TO,2010-05-13,2010:Q1
CIX.TO,2010-05-11,2010:Q1
CGXu.TO,2010-05-13,2010:Q1
CLCu.TO,2010-05-06,2010:Q1
CCA.TO,2010-04-08,2010:Q2
CUFu.TO,2010-05-13,2010:Q1
CLM.TO,2010-05-05,2010:Q1
CJR.B.TO,2010-04-14,2010:Q2
BCB.TO,2010-05-05,2010:Q1
CPG.TO,2010-05-06,2010:Q1
CR.TO,2010-05-11,2010:Q1
DHFu.TO,2010-05-04,2010:Q1
DAYu.TO,2010-05-06,2010:Q1
DGC.TO,2010-05-13,2010:Q1
